SurveyID,Age,Gender,Type,Education,Income,Employed,FullPart,@1OwnCell,@2UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,@9Comfort,BQ9a,@10Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001
S17,61,1,1,2,5,1,2,,,1,5,4,12,3,2,0.75,1,1,,,,,1,,,1,0,0,4,3,2,,,5,1,4,3,2,1,1,3,4,5,3,5,2,7,3.5,5,5,5,,2
W011,61,2,1,3,1,1,1,12,12,1,7,6,56,2,1,0.25,,,1,,,,1,,,2,1,3,5,4,3,5,0,5,1,1,1,1,5,5,5,4,5,6,5,5,5,5.5,7,6,7,,3
W020,61,1,4,2,1,1,1,0,0,2,1,0,0,1,0,0,1,,1,,,,1,,,1,0,0,1,0,0,1,,1,,4,4,3,3,3,3,3,3,3,3,1,3,2,4,4,4,,2
W073,61,2,1,1,1,2,,8,8,1,7,6,56,7,6,3.5,1,,,,,,1,1,,1,0,0,4,3,2,7,2,5,1,1,1,1,7,5,5,7,7,7,7,6,7,6.5,7,7,7,,1
W082,61,2,3,3,1,2,,15,15,1,7,6,56,2,1,0.25,1,,1,,,1,,,,1,0,0,4,3,2,4,-1,4,0,1,1,1,1,1,2,1,1,2,2,2,1.5,2,5,5,5,,3
W113,61,2,1,3,1,2,,3,3,1,7,6,56,3,2,0.75,1,,1,,,,1,,,1,0,0,5,4,3,5,0,4,0,1,1,1,4,4,4,4,4,4,4,4,4,4,6,6,6,,3
W138,61,2,1,3,1,2,,16,16,2,7,6,56,3,2,0.75,1,,,,,,,,,1,0,0,5,4,3,6,1,5,1,1,1,1,6,4,3,7,7,3,7,2,7,2.5,9,6,5,,3
W141,61,2,1,3,1,2,,5,5,1,7,6,56,4,3,1.25,1,,,,,,1,,,1,0,0,2,1,0,8,3,6,2,1,1,1,7,7,7,4,7,1,7,1,7,1,10,10,10,,4
W142,61,2,1,2,2,2,,12,12,1,7,6,56,2,1,0.25,1,,1,,,,1,1,,1,0,0,6,5,4,8,3,4,0,4,1,1,4,4,4,5,7,3,7,3,7,3,6,6,6,,2
W167,61,2,1,2,1,2,,10,10,1,7,6,56,3,2,0.75,1,,1,,,,1,,,1,0,0,4,3,2,7,2,4,0,1,1,1,7,7,7,1,7,1,7,1,7,1,5,5,5,,2
